이름,레벨,서식지,시간대,날씨,판매가,시즌,이미지ID
호랑나비,1,숲,"아침, 낮, 저녁, 새벽","맑음, 비, 무지개",30,일반,101
유럽갈고리나비,1,도시,"아침, 낮, 저녁, 새벽","맑음, 비, 무지개",30,일반,104
멧노랑나비,1,도시 근교,"아침, 낮, 저녁, 새벽","맑음, 비, 무지개",30,일반,107
배추흰나비,1,어촌,"아침, 낮, 저녁, 새벽","맑음, 비, 무지개",30,일반,119
아폴로모시나비,1,곤충 유인 사건,"아침, 낮, 저녁, 새벽","맑음, 비, 무지개",30,일반,121
붉은고리호랑나비,1,곤충 유인 사건,"아침, 낮, 저녁, 새벽","맑음, 비, 무지개",30,일반,123
슬코스키몰포나비,1,곤충 유인기,"아침, 낮, 저녁, 새벽","맑음, 비, 무지개",90,유인기,126
아스파라거스벌레,1,꽃밭,"아침, 낮, 저녁, 새벽","맑음, 비, 무지개",55,일반,203
별노린재,1,홈,"아침, 낮, 저녁, 새벽","맑음, 비, 무지개",35,일반,401
큰고추잠자리,1,물가,"아침, 낮, 저녁, 새벽","맑음, 비, 무지개",35,일반,501
오아시스메뚜기,2,온천산,"아침, 낮, 저녁, 새벽","맑음, 비, 무지개",45,일반,301
연푸른 부전나비,2,도심,"아침, 낮, 저녁, 새벽","맑음, 비, 무지개",105,일반,103
녹색호랑풍뎅이,2,온천산,"아침, 낮, 저녁, 새벽","맑음, 비, 무지개",110,일반,202
말벌호랑하늘소,2,숲,"아침, 낮, 저녁, 새벽","맑음, 비, 무지개",110,일반,205
파란꽃풍뎅이,2,홈,"아침, 낮, 저녁, 새벽","비, 무지개",165,일반,209
망치다리메뚜기,2,어촌,"아침, 낮, 저녁, 새벽","맑음, 비, 무지개",90,일반,303
칠성무당벌레,2,도시 근교,"아침, 낮, 저녁, 새벽","비, 무지개",110,일반,405
넉점박이잠자리,2,근교 호숫가,"아침, 낮, 저녁, 새벽","비, 무지개",75,일반,502
호박벌,2,꽃밭,"아침, 낮, 저녁, 새벽","맑음, 비, 무지개",110,일반,702
붉은목제비나비,3,홈,"아침, 저녁, 새벽","맑음, 비, 무지개",90,일반,113
홍날개,3,온천산-온천,"아침, 낮, 저녁, 새벽","맑음, 비, 무지개",110,일반,206
분홍색 철써기,3,곤충 유인 사건,"아침, 낮, 저녁, 새벽","맑음, 비, 무지개",90,일반,302
여치,3,꽃밭-보라빛 해변,"아침, 낮, 저녁, 새벽","맑음, 비, 무지개",180,희귀,308
흰점꼬리털벌,3,숲-순록탑,"아침, 낮, 저녁","맑음, 비, 무지개",165,일반,704
